//ID	Name	RGB color	Background sound effect ID	Background color RGB value: ", "number seperation	Background lighting RGB value: ", "number seperation	Background lighting angle: "x, y, z"	Is it city
1	Аргент	41,107,214	2	114,148,155	255,255,255	-1.0,-1.0,-1.0	1
2	Окраины Аргента	235,44,169	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
3	Бельмонтские равнины	3,33,187	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
4	Пастушьи поля	239,95,95	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
5	Андийский лес	76,252,16	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
6	Луг Бельды	236,190,212	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
7	Калдейская Тундра	237,81,6	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
8	Грамоград	69,77,153	3	120,120,110	255,255,255	-1.0,-1.0,-1.0	1
9	Окраины Грамограда	37,142,81	12	150,150,151	255,255,255	-1.0,-1.0,-1.0	0
10	Гавань Грамограда	101,83,5	3	120,120,152	255,255,255	-1.0,-1.0,-1.0	0
11	Священный лес	92,51,236	11	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
12	Священная снежная гора	63,84,22	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
13	Шайтан	167,34,205	4	145,150,102	255,255,255	-1.0,-1.0,-1.0	1
14	Старый Шайтан	204,143,96	4	145,150,103	255,255,255	-1.0,-1.0,-1.0	0
15	Южная пустыня	212,243,78	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
16	Пустынные прерии	74,96,61	12	145,150,105	255,255,255	-1.0,-1.0,-1.0	0
17	Остров Морфея	203,238,47	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
18	Столица Абэддон	104,22,117	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
19	Верхняя Ледынь	147,109,53	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
20	Нижняя Ледынь	51,244,13	6	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
21	Снежные равнины Атлантов	76,230,5	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
22	Снежный шип	57,33,16	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
23	Остров кухни	115,17,139	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
24	Весноград	208,161,90	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
