 //Serial	NPC Name	NPC Type	Chrindex ID	Show Mini-map	Coordinates starting point	Coordination Goal	NPC placement	Region	Region ID	NPC Script	info manage	Test Status
0	Торговец феями		1	449	7	218700,277600	218700,277600	180	Argent City	1	0	r_HeSToP2	0
1	Секретарь - Сальвер	1	14	0	221925,274925	221925,274925	180	Argent City	1	0	r_talk01	r_npcstate01
2	Кузнец - Голди		1	20	1	219312,270612	219312,270612	114	Argent City	1	0	r_trade01	0
4	Жительница - Маргарет	1	28	0	227930,274654	227930,274654	84	Argent City	1	0	r_talk08	0
5	Бабуля Белди		1	18	0	227725,276925	227725,276925	180	Argent City	1	0	r_talk02	r_npcstate02
7	Торговец - Чироро	1	17	4	233107,282194	233107,282194	234	Argent City	1	0	r_talk10	0
8	Доктор - Дитто		1	17	11	225075,277025	225075,277025	180	Argent City	1	0	r_talk03	r_npcstate03
9	Банкир - Моника		1	16	0	222050,270400	222050,270400	180	Argent City	1	0	r_talk13	0
10	Торговец Ансилами	1	884	0	221150,278125	221150,278125	180	Argent City	1	0	r_HeSToP	0
12	Кодди			1	410	0	221925,291131	221925,291131	179	Argent City	1	0	r_talk12	0
13	Генерал - Вильям	1	416	0	227789,283199	227789,283199	84	Argent City	1	0	r_talk14	0
14	Сестра - Джина		1	29	3	224487,277032	224487,277032	180	Argent City	1	0	r_talk04	r_npcstate04
15	Посланник Шайтана - Хиба	1	416	0	225648,270640	225648,270640	180	Argent City	1	0	r_talk15	0
16	Председатель - Рунис	1	415	0	224156,274843	224156,274843	264	Argent City	1	0	r_talk16	0
17	Старик Пачкуль	1	420	0	227208,270036	227208,270036	180	Argent City	1	0	r_talk17	0
18	Бакалейщик - Аргента	1	17	12	220200,272200	220200,272200	269	Argent City	1	0	r_talk07	0
20	Асистент Роури	1	16	0	224075,275275	224075,275275	270	Argent City	1	0	r_talk18	0
22	Буфетчица - Донна	1	11	0	222499,288750	222499,288750	264	Argent City	1	0	r_talk05	0
23	Турист - Джа	1	402	0	221588,282819	221588,282819	219	Argent City	1	0	r_talk19	0
24	Энтони	1	10	0	222270,288954	222270,288954	54	Argent City	1	0	r_talk20	0
25	Мальчик Томми	1	414	0	196225,269425	196225,269425	115	Belmont Plains	3	0	r_talk21	0
26	Производитель - Десмонд	1	429	0	173269,278261	173269,278261	189	Belmont Plains	3	0	r_talk22	0
27	Кролик	1	10	0	229833,252025	229833,252025	89	Belmont Plains	3	0	r_talk23	0
28	Командир армии - Дессаро	1	417	0	71350,141619	71350,141619	174	Thundoria Castle	8	0	r_talk24	0
29	Бармен - Мона	1	413	0	99089,126306	99089,126306	84	Thundoria Harbor	10	0	r_talk25	0
30	Дио	1	410	0	108330,128563	108330,128563	54	Thundoria Harbor	10	0	r_talk26	0
